id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
1378,1378,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1378,https://gateway.pinata.cloud/ipfs/QmZtESvzssmHv7TDqu8FsbmhMdFFFAm79Q2onMTy3y4nHm,Leamon Spread Background,Mecha Falcon Wings,Atomic Samurai Dragon,Raven Mystique Scales,Mecha Godzilla Tail,Pea Pod Ears,Psycho Eyes,Lascivious Mouth,Shank Horns,Teal Sprout Headpiece,Argon Mountain,Mechanical,Laser Beem,f,2021-10-17 18:18:47.883+05,2021-10-17 18:18:47.883+05
1379,1379,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1379,https://gateway.pinata.cloud/ipfs/QmPagAv3pUq4NxEMRj1QLQpifo1i6v5V8W1mcGMnGRH9Yp,Powder Blue Background,Asguardian Wings,Ocean Blue Dragon,Shackles Scales,Spiky Deca Blue Tail,Tulip Ears,Glamorous Eyes,Crooked Sabretooth Mouth,Pudu Horns,Layered Opal Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:47.883+05,2021-10-17 18:18:47.883+05
1380,1380,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1380,https://gateway.pinata.cloud/ipfs/QmXCPAT7jrjp57ZMqNAh3R2Mv18BufKRq3A8f8zK7R6sAB,Maya Blue Background,Cyber Blade Wings,Ocean Blue Dragon,Green Vine Scales,Spiky Deca Blue Tail,Yale Genie Ears,Narcissist Eyes,Crooked Sabretooth Mouth,Anchor Horns,Purple S Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:47.884+05,2021-10-17 18:18:47.884+05
1381,1381,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1381,https://gateway.pinata.cloud/ipfs/QmWhQc1KSdr6LwEsCf5Zph7g2AzeijkNV4AZwiB8K5c69x,Tomato Pink Background,Golden Darner Wings,Smokey Sriracha Dragon,Groovy Scales,Foxy Tail,Uchiwa Ears,Astonish Eyes,Geeky Mouth,Anchor Horns,Carnelian Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:47.885+05,2021-10-17 18:18:47.885+05
1382,1382,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1382,https://gateway.pinata.cloud/ipfs/QmbnvaVzPF1tEYmshJdkwVvYbwkmpVovf4P73oBLCbcSUB,Caribbean Background,Vampire Wings,Bloodhound Dragon,Fishy Scales,Maroon Boomerang Tail,Blood Angel Ears,Thinking Eyes,Grinning Mouth,Moose Horns,Funky Mohican Hair Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:47.892+05,2021-10-17 18:18:47.892+05
1383,1383,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1383,https://gateway.pinata.cloud/ipfs/QmPp4CW8g4jXkC9rPs7vnUratSMaWhYugw6VyoFqAMuqXu,Grape Background,Desert Inferno Wings,Ocean Blue Dragon,Buckbeaks Feather Scales,Fletching Tail,Yale Genie Ears,Spooked Eyes,Puerile Mouth,Juvenile Minotaur Horns,Blood Ruby Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:47.894+05,2021-10-17 18:18:47.894+05
1384,1384,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1384,https://gateway.pinata.cloud/ipfs/QmUHhVcKieT8nFvFYEvbZKPQ327bDCDiky3kfvApVmq5Wo,Salmon Background,Golden Mocha Wings,Cheetah Dot Dragon,Crooked Scales,Munsell Trident Tail,Whale ears,Weeping Eyes,Egoistic Mouth,Red Devil Horns,Layered Opal Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:47.895+05,2021-10-17 18:18:47.895+05
1385,1385,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1385,https://gateway.pinata.cloud/ipfs/QmVigMDz3VvWzvbB6Q22DLXeX7hhJVtfYt9dmpuKcwpjVw,Violet Whirlpool Background,Midnight Claw Wings,Cheetah Dot Dragon,Basket Weave Scales,Hungarian Horn Tail,Beetle ears,Starry Night Eyes,Yelling Mouth,Ram Horns,Tuba Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:47.896+05,2021-10-17 18:18:47.896+05
1386,1386,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1386,https://gateway.pinata.cloud/ipfs/QmaZNcHBMyM7pazHBhHzEL2MkEjheUN1tiFpkRvNpfcFiu,Air Superiority Blue Background,Evergreen Wings,Albino Embrace Dragon,Furry Scales,Flamingo Beak Tail,White Vampire Ears,Goo Goo Eyes,Drool Mouth,Moose Horns,Golden Moon Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:47.897+05,2021-10-17 18:18:47.897+05
1387,1387,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1387,https://gateway.pinata.cloud/ipfs/QmcnDfXnwnhK9edFMW4DrmjwfqfWPFyQgfh3NvPcXwCNXi,Sienna Gold Background,Obsidian Wings,Rosie Pink Dragon,Rubik Scales,Sting Pink Tail,Rime Ears,Interested Eyes,Frisky Mouth,Splinter Horns,Black Obsidian Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:47.898+05,2021-10-17 18:18:47.898+05
1388,1388,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1388,https://gateway.pinata.cloud/ipfs/QmUDa66vmyD3vsiS1yYkRKYEY7QpNYqbeLbckZokFn3w9R,Mademoiselle Background,Magnum Gold Wings,Dark Shadow Dragon,Pangolin Scales,Devil Scales Tail,Dobby Ears,Enthusiastic Eyes,Puerile Mouth,Red Devil Horns,Cyclone Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:47.898+05,2021-10-17 18:18:47.898+05
1389,1389,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1389,https://gateway.pinata.cloud/ipfs/QmQu3D7GWqLE7pcL6KVunx8TGWLCFi4sPFCZNCZmzNecYQ,Glaucous Background,Indigo Canary Wings,Moon Stone Dragon,Zebra Scales,Sea Horse Tail,White Hook Ears,Thinking Eyes,Raunchy Mouth,Maleficient Horns,Golden Moon Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:47.899+05,2021-10-17 18:18:47.899+05
1390,1390,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1390,https://gateway.pinata.cloud/ipfs/QmZS3Gyg2PK5ezwF4FVdA2SWuLosetodzsupmsRcyDUYoT,Dodger Blue Background,Magnum Gold Wings,Rosie Pink Dragon,Aztec Scales,Sting Pink Tail,Rime Ears,Thinking Eyes,Lucky Mouth,Devil Horns,Funky Mohican Hair Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:47.9+05,2021-10-17 18:18:47.9+05
1391,1391,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1391,https://gateway.pinata.cloud/ipfs/QmVZjrAH9VbXCiHHTC4HcyxGJ9VL8szcpDZWaQGDatJpRv,Fandango Background,Jezebel Wings,Gecko Dragon,Armadillo Armor Scales,Tentacle Tail,Kodiak Ears,Bewildered Eyes,Orc Mouth,Snail Shell Horns,Black Obsidian Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:47.901+05,2021-10-17 18:18:47.901+05
1392,1392,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1392,https://gateway.pinata.cloud/ipfs/QmTGURi2SoP13NkNGhwaPsKcPxQVx4h52zfoXGNCbxbfVf,Grape Background,Obsidian Wings,Rosie Pink Dragon,Argyle Scales,Sliding Band Tail,Lizard Feet Ears,Drowsy Eyes,Triumphant Mouth,G Horns,Star Sapphire Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:47.902+05,2021-10-17 18:18:47.902+05
1393,1393,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1393,https://gateway.pinata.cloud/ipfs/QmazCwA6h8jha8J4Yvjjr88srtBnbzaqRLQkYYAFgn3sC2,Cream Green Background,Thunderbolt Black Wings,Scaly Taipan Dragon,Alligator Scales,Triangular Snake Tail,Scalpel Ears,Domineering Eyes,Menancing Mouth,Red Devil Horns,Tornado Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:47.903+05,2021-10-17 18:18:47.903+05
1394,1394,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1394,https://gateway.pinata.cloud/ipfs/QmRD8EESdPKTqGehsav3D8i7JkTuwiXvYW42GgDGzQk5RE,Lollipop Background,Vampire Wings,Electro Yale Dragon,Groovy Scales,Bayonet Tail,Puffy Ears,Pretty Eyes,Bulldog Mouth,Beast Horns,Purple S Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:47.905+05,2021-10-17 18:18:47.905+05
1395,1395,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1395,https://gateway.pinata.cloud/ipfs/QmbNqh7BsdKjWG5nQhbpfaCo9nAJtXJaLoqwUCBrQFp1Xs,Chartreuse Background,Rouge Bat Wings,Lilac Blue Dragon,Ikat Scales,Harpoon Tail,Valkyrie Ears,Winking Eyes,Jubilant Mouth,Ram Horns,Conch Shell Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:47.906+05,2021-10-17 18:18:47.906+05
1396,1396,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1396,https://gateway.pinata.cloud/ipfs/QmUz9LytKnhdHsF6voGXrcmYTFyHxwcrCCisTzAbAABh89,Hot Pink Background,Pixie Wings,Gecko Dragon,Maze Scales,Barbed Spear Tail,Fuscus Ears,Weary Eyes,Egoistic Mouth,Snail Shell Horns,Layered Opal Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:47.907+05,2021-10-17 18:18:47.907+05
1397,1397,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1397,https://gateway.pinata.cloud/ipfs/QmbnYkwrfCs8CJMtaAhcb8RfGUQqP3Afpp4Mws7FvZUonp,Chartreuse Background,Devilish Palm Wings,Smokey Sriracha Dragon,Scallops Scales,Godzilla Tail,Injured Sheep Ears,Glaring Eyes,Suffering Mouth,Devil Horns,Wreath Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:47.911+05,2021-10-17 18:18:47.911+05
1398,1398,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1398,https://gateway.pinata.cloud/ipfs/QmQ5QuTZ1HzXPa689ayfWHrbEhKPEFqaTNWefVcbmHmLGY,Frosted Tulip Background,Golden Darner Wings,Gecko Dragon,Root Scales,Jaguar Tail,Fortune Cookie Ears,Relieved Eyes,Avid Mouth,Hell Boy Horns,Fin Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:47.915+05,2021-10-17 18:18:47.915+05
1399,1399,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1399,https://gateway.pinata.cloud/ipfs/QmZWgzarjLF9WsaZWGaVzB815ZhMKzkrtfjLWMg75Yr7hC,Violet Blue Background,Crimson Bat Wings,Lightning Jade Dragon,Grilled Scales,Scorpion Tail,Black Gargoyle Ears,Thinking Eyes,Egoistic Mouth,Candy Horns,Tornado Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:47.916+05,2021-10-17 18:18:47.916+05
1400,1400,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1400,https://gateway.pinata.cloud/ipfs/QmVNMj3mbDBhnp2QRZy6q6PzyPT2FtociQLYdFMNYazxh2,Corn Nebula Background,Obsidian Wings,Scaly Taipan Dragon,Ash Scales,Banana Tail,Scalpel Ears,Confident Eyes,Drool Mouth,Maleficent Spectrum Horns,Scythe Hair Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:47.917+05,2021-10-17 18:18:47.917+05
1401,1401,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1401,https://gateway.pinata.cloud/ipfs/QmbpdqVvgod33e3AkjQjRnFLsDWunZdjwLQxwuA8Lr7AQh,Floral Green Background,Devilish Palm Wings,Fuscia Daisy Dragon,Noodle Scales,Slug Tail,Dorito Ears,Glamorous Eyes,Yawning Mouth,Pudu Horns,Amethyst Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:47.917+05,2021-10-17 18:18:47.917+05
1402,1402,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1402,https://gateway.pinata.cloud/ipfs/QmdGgRj9jsUfJrrMgi2Mu59qtX69K46YKPfYkcA9ecG9vt,Amethyst Background,Angelic Blue Wings,Windstorm Dragon,Zig Zag Scales,Stingray Tail,Paper Plane Ears,Arrogant Eyes,Smiling Bunny Mouth,Juvenile Minotaur Horns,Tuba Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:47.919+05,2021-10-17 18:18:47.919+05
1403,1403,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1403,https://gateway.pinata.cloud/ipfs/QmPi8F68AopaiSSrw1147ZByLdYYik5MfmJiZsM6Tcg1Hm,Magenta Background,Cyber Blade Wings,Smokey Sriracha Dragon,Elliptical Scales,Foxy Tail,Injured Sheep Ears,Domineering Eyes,Grumpy Mouth,Springbok Horns,Layered Opal Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:47.92+05,2021-10-17 18:18:47.92+05
1404,1404,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1404,https://gateway.pinata.cloud/ipfs/QmTwHRLk43cWt84jfR3ojGeqbEv7LPEhQ3nfPWytZKHUM8,Palantinate Blue Background,Transveral Blue Wings,Snow Leopard Dragon,Argyle Scales,Gecko Tail,Cyan Scorpion Ears,Bewildered Eyes,Craving Mouth,Nebula Horns,Golden Moon Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:47.921+05,2021-10-17 18:18:47.921+05
1405,1405,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1405,https://gateway.pinata.cloud/ipfs/QmVicRtV94CdyGw6nULfPaeZLk7NcdrX1LKKmMBwonkUAv,Pastel Green Background,Chrono Wings,Amazonian Dragon,Zebra Scales,Green Anaconda Tail,Bulbasaur Ears,Prideful Eyes,Craving Mouth,Fire Horns,Crescent Spring Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:47.923+05,2021-10-17 18:18:47.923+05
1406,1406,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1406,https://gateway.pinata.cloud/ipfs/Qme6R7sLXC42NhRcpvwGhPJFRJGCTLPvJqkwwAtiQbmZKb,Turkish Background,Spotty FAYZ Wings,Bloodhound Dragon,Totem Scales,Crimson Rattle Tail,Blood Angel Ears,Prideful Eyes,Smiling Bunny Mouth,Devil Horns,Cyclone Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:47.925+05,2021-10-17 18:18:47.925+05
1407,1407,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1407,https://gateway.pinata.cloud/ipfs/QmVgNRvULPrQKtd6fGW3YqKw11bWpoh2ZDztXfdKekisJ9,Exposed Shadow Background,Halloween Wings,Moon Stone Dragon,Twirling Scales,White Diez Tail,Squidward Ears,Piqued Eyes,Gnarly Mouth,Nebula Horns,Tuba Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:47.934+05,2021-10-17 18:18:47.934+05
1408,1408,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1408,https://gateway.pinata.cloud/ipfs/QmZkLxCQTtNW7rPM186gskzPAt2nUriHmkNhmd8nmPs794,Sienna Gold Background,Chestnut Wings,Black Spectrum Dragon,Smokey Distorted Scales,Charcoal Split Tail,Fish Gills Ears,Winking Eyes,Gnarly Mouth,Minotaur Horns,Crescent Spring Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:47.935+05,2021-10-17 18:18:47.935+05
1409,1409,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1409,https://gateway.pinata.cloud/ipfs/QmcYdJD9fTci5gozVFe2xRuwmjmXM8cp6ZB9dGSmZsK3i5,Palegreen Background,Pink Crescent Wings,Dark Shadow Dragon,Beehive Scales,Caiman Tail,Dobby Ears,Enthusiastic Eyes,Melancholic Mouth,Snail Shell Horns,Amethyst Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:47.936+05,2021-10-17 18:18:47.936+05
1410,1410,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1410,https://gateway.pinata.cloud/ipfs/QmbQ6XqnmeuVWMAKJLqt23aAYJA9AMrhUfdZycrzbC9eJY,Pastel Green Background,Angelic Blue Wings,Flamy Dragon,Leis Scales,Carnivorus Plant Tail,Apricloth Ears,Scared Eyes,Growling Mouth,Pudu Horns,Cyclone Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:47.937+05,2021-10-17 18:18:47.937+05
1411,1411,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1411,https://gateway.pinata.cloud/ipfs/QmeZ182Ui6zbBMK3pHcqBe3RwbXA9JaiG8hukGYc4XV17Q,Scottish Coral Background,Spider Web Wings,Rosie Pink Dragon,Argyle Scales,Sliding Band Tail,Hippie Moustache Ears,Confused Eyes,Growling Mouth,Splinter Horns,Funky Mohican Hair Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:47.939+05,2021-10-17 18:18:47.939+05
1412,1412,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1412,https://gateway.pinata.cloud/ipfs/QmY783rtembXDGVgrudvugSVTRa6MXBPfViJfjpow8v1zH,Dodger Blue Background,Flamingo Wings,Vanilla Meteorite Dragon,Smokey Distorted Scales,Creamy Godzilla Tail,Elk Ears,Sharp Eyes,Cat Mouth,Fire Horns,Wreath Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:47.945+05,2021-10-17 18:18:47.945+05
1413,1413,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1413,https://gateway.pinata.cloud/ipfs/QmbRAMbiHnJAbNii3UiWHDZDxCS8YuHg3YSt9nyTHvz9ip,Lilac Background,Serpent Wings,Flamy Dragon,Groovy Scales,Sea Saw Tail,Apricloth Ears,Enraged Eyes,Gnarly Mouth,Ballistic Horns,Black Phantom Hair Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:47.947+05,2021-10-17 18:18:47.947+05
1414,1414,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1414,https://gateway.pinata.cloud/ipfs/QmVQxtsoebGUCy5uiUffUSrnQAHTKxDb6LzBb9fMs2HEma,Flaxen Background,Indigo Canary Wings,Morion Lava Dragon,Ash Scales,Brown Twisted Tail,Spatula Ears,Relieved Eyes,Sigh Mouth,Fire Horns,Funky Mohican Hair Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:47.948+05,2021-10-17 18:18:47.948+05
1415,1415,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1415,https://gateway.pinata.cloud/ipfs/QmagVK3J76PgW1REVaL7Uz2PUitVp733NhNtUeCYCAKent,Palegreen Background,Angelic Blue Wings,Black Spectrum Dragon,Basket Weave Scales,Sea Weed Tail,Fish Gills Ears,Enlightened Eyes,Drool Mouth,Battle X Horns,Black Phantom Hair Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:47.95+05,2021-10-17 18:18:47.95+05
1416,1416,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1416,https://gateway.pinata.cloud/ipfs/QmZ5zHJdQ7tNmiaFsUUBpFkqDmvTZCsESdfY3oASCfePFt,Carolina Flamingo Background,Devilish Palm Wings,Lightning Jade Dragon,Beehive Scales,Median Strip Tail,Cambion Ears,Starry Night Eyes,Resentful Mouth,Orange Ram Horns,Fin Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:47.956+05,2021-10-17 18:18:47.956+05
1417,1417,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1417,https://gateway.pinata.cloud/ipfs/QmTkGGAnHQPXt2qHs3LtVdk9BSDUKqbVPX4jHzs5SBtkQZ,Magenta Background,Midnight Claw Wings,Electro Yale Dragon,Green Vine Scales,Striped GoldFish Tail,Petal Ears,Unamused Eyes,Talkative Mouth,Red Devil Horns,Crimson Rhino Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:47.958+05,2021-10-17 18:18:47.958+05
1418,1418,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1418,https://gateway.pinata.cloud/ipfs/QmVPTsbVr5TLYHbaJ8413XprNMDYwK9RB86x98VBGRVM7p,Steel Blue Background,Fairy Rose Wings,Bloodhound Dragon,Pai Sho Scales,Bloody Cyclone Tail,Blood Angel Ears,Prideful Eyes,Yelling Mouth,Hell Boy Horns,Golden Mohawk Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:47.959+05,2021-10-17 18:18:47.959+05
1419,1419,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1419,https://gateway.pinata.cloud/ipfs/QmUGj8sVabtbXofunNQ8dyJCexun88ihE3WWYGEzNsCR77,Hot Pink Background,Halloween Wings,Scaly Taipan Dragon,Zig Zag Scales,Banana Tail,Punch Ears,Insomnia Eyes,Resentful Mouth,Ram Horns,Amethyst Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:47.96+05,2021-10-17 18:18:47.96+05
1420,1420,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1420,https://gateway.pinata.cloud/ipfs/QmS1wb6K2L63uaS7RZqgJUc8ToXeqCqNeLKNkNKbZ2L6RY,Flaxen Background,Heavenly Light Wings,Rosie Pink Dragon,Chain Link Scales,Magenta Chameleon,Cornflower Miotaur Ears,Glaring Eyes,Jubilant Mouth,Ballistic Horns,Layered Opal Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:47.962+05,2021-10-17 18:18:47.962+05
1421,1421,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1421,https://gateway.pinata.cloud/ipfs/QmbvVfh7gaWLHXVPf8cgvYsjjEgrum3vev3ggg2dySauQr,Tangerine Background,Sapphire Wings,Morion Lava Dragon,Scallops Scales,Thin Barbed Tail,Bull Horns Ears,Stressed Eyes,Avid Mouth,Juvenile Minotaur Horns,Black Obsidian Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:47.962+05,2021-10-17 18:18:47.962+05
1422,1422,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1422,https://gateway.pinata.cloud/ipfs/QmfCciPwFhpkLD6YW5tp144oiK7h8v1aAvnakiwjswSHHm,Violet Blue Background,Obsidian Wings,Lilac Blue Dragon,Noodle Scales,Harpoon Tail,Valkyrie Ears,Winking Eyes,Craving Mouth,Nebula Horns,Tornado Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:47.963+05,2021-10-17 18:18:47.963+05
